"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",232,150,190,230,240,270,290,330,340,351
"GET /basket.html",176,160,210,250,270,290,320,360,420,418
"DELETE /cart",195,210,260,310,330,380,440,460,470,493
"POST /cart",175,310,390,470,500,590,640,700,730,807
"GET /catalogue",238,220,290,330,360,410,430,490,520,578
"GET /category.html",212,150,210,240,260,290,300,340,370,408
"GET /detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",29,170,240,250,260,310,320,350,350,347
"GET /detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",19,150,220,240,250,300,320,320,320,322
"GET /detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",22,170,230,250,260,310,310,360,360,360
"GET /detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",25,140,180,220,250,260,270,330,330,333
"GET /detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",22,150,180,190,200,210,310,330,330,325
"GET /detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",17,150,170,210,220,240,280,280,280,279
"GET /detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",24,130,160,190,200,260,270,310,310,312
"GET /detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",26,170,210,230,250,290,350,360,360,361
"GET /detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",24,220,230,250,260,280,280,380,380,378
"GET /login",220,350,420,510,540,600,640,660,690,763
"POST /orders",136,450,520,650,710,780,810,840,940,1184
"Total",1792,210,270,320,350,470,570,710,760,1184